"Episode","Step","Action","Observation","Fully Observed State","State","Step Reward","Total Reward","Q-values"
"0","0","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv6rh1', 'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","0.0","0.0",""
"0","1","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv6rh1', 'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","0.0","0.0",""
"0","2","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv6rh1', 'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","0.0","0.0",""
"0","3","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z-1'}","{'coord_0': 'Srv6rh1', 'depth_0': 'd3', 'orient_0': 'x-1y0z-1'}","-1.44","-1.44",""
"0","4","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x-1y0z-1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x-1y0z-1'}","0.0","-1.44",""
"0","5","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x-1y0z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x-1y0z0'}","0.0","-1.44",""
"0","6","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x-1y0z1'}","-1.44","-2.88",""
"0","7","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","-2.88",""
"0","8","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","-2.88",""
"0","9","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y-1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x0y-1z1'}","0.0","-2.88",""
"0","10","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y-1z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x0y-1z0'}","0.0","-2.88",""
"0","11","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x1y-1z0'}","-1.44","-4.32",""
"0","12","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z0'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y-1z0'}","0.0","-4.32",""
"0","13","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z0'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y-1z0'}","0.0","-4.32",""
"0","14","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y-1z-1'}","0.0","-4.32",""
"0","15","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","0.0","-4.32",""
"0","16","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","0.0","-4.32",""
"0","17","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y-1z-1'}","0.0","-4.32",""
