"Episode","Step","Epsilon","Action","Observation","Fully Observed State","State","Step Reward","Total Reward","Q-values ['North', 'South', 'East', 'West', 'Catch']"
"0","0","0.9120108393559098","Catch","{'obs_sensor': 'Orv3rh0'}","{'robot_0': 'Srv3rh0'}","{'robot_0': 'Srv3rh0', 'target_0': 'Ttv3th9'}","-10.0","-10.0","[ 0.02032756  0.02455519  0.01553966 -0.05072019  0.05327094]"
"0","1","0.9120108393559098","South","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv3rh0'}","{'robot_0': 'Srv3rh0', 'target_0': 'Ttv3th9'}","-1.0","-11.0","[-0.02785598 -0.0456888  -0.01769898  0.04992494 -0.0327631 ]"
"0","2","0.9120108393559098","West","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv4th9'}","-1.0","-12.0","[-0.04688552  0.01282081  0.01933142  0.0030646   0.04617695]"
"0","3","0.9120108393559098","South","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv3th9'}","-1.0","-13.0","[-0.01126143 -0.01205695  0.10141039  0.01576749  0.05957213]"
"0","4","0.9120108393559098","Catch","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv3th9'}","-10.0","-23.0","[ 0.05108356 -0.069563    0.09844118  0.04276863  0.09410318]"
"0","5","0.9120108393559098","South","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv3th9'}","-1.0","-24.0","[ 0.08836079 -0.03066804  0.12588498  0.01695254  0.0961951 ]"
"0","6","0.9120108393559098","South","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv3th9'}","-1.0","-25.0","[ 0.00481324 -0.01240937  0.06029984 -0.00856511  0.10510821]"
"0","7","0.9120108393559098","Catch","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv3th9'}","-10.0","-35.0","[ 0.02089973 -0.06802167  0.14128014  0.11961569  0.10157701]"
"0","8","0.9120108393559098","North","{'obs_sensor': 'Orv3rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv3th9'}","-1.0","-36.0","[ 0.178998   -0.04197409  0.08549201  0.08492488  0.14681856]"
"0","9","0.9120108393559098","East","{'obs_sensor': 'Orv3rh1'}","{'robot_0': 'Srv3rh0'}","{'robot_0': 'Srv3rh0', 'target_0': 'Ttv3th9'}","-1.0","-37.0","[ 0.17306876  0.07411423  0.1514363  -0.00241713  0.18299676]"
"0","10","0.9120108393559098","South","{'obs_sensor': 'Orv4rh1'}","{'robot_0': 'Srv3rh1'}","{'robot_0': 'Srv3rh1', 'target_0': 'Ttv3th9'}","-1.0","-38.0","[0.11471298 0.03475374 0.1670985  0.03094936 0.11318209]"
"0","11","0.9120108393559098","Catch","{'obs_sensor': 'Orv4rh1'}","{'robot_0': 'Srv4rh1'}","{'robot_0': 'Srv4rh1', 'target_0': 'Ttv4th9'}","-10.0","-48.0","[0.05104753 0.03016664 0.23272793 0.03349631 0.25520587]"
"0","12","0.9120108393559098","South","{'obs_sensor': 'Orv4rh1'}","{'robot_0': 'Srv4rh1'}","{'robot_0': 'Srv4rh1', 'target_0': 'Ttv4th9'}","-1.0","-49.0","[ 0.03732987 -0.03298693  0.23135579  0.03432338  0.02484177]"
"0","13","0.9120108393559098","South","{'obs_sensor': 'Orv4rh1'}","{'robot_0': 'Srv4rh1'}","{'robot_0': 'Srv4rh1', 'target_0': 'Ttv4th9'}","-1.0","-50.0","[ 0.2829631  -0.01335258  0.27651948 -0.01830426  0.2625565 ]"
"0","14","0.9120108393559098","West","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh1'}","{'robot_0': 'Srv4rh1', 'target_0': 'Ttv4th9'}","-1.0","-51.0","[ 0.31301808 -0.1883197   0.41859785  0.1378069   0.15788743]"
"0","15","0.9120108393559098","Catch","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv4th9'}","-10.0","-61.0","[ 0.05796753 -0.02130856  0.10486381  0.02613239  0.00247845]"
"0","16","0.9120108393559098","South","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv4th9'}","-1.0","-62.0","[ 0.2673551  -0.10041129  0.22311035 -0.01178447  0.11313872]"
"0","17","0.9120108393559098","North","{'obs_sensor': 'Orv3rh0'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv4th9'}","-1.0","-63.0","[ 0.16403839 -0.19147453  0.17117605  0.01692037 -0.00223423]"
"0","18","0.9120108393559098","South","{'obs_sensor': 'Orv4rh0'}","{'robot_0': 'Srv3rh0'}","{'robot_0': 'Srv3rh0', 'target_0': 'Ttv4th9'}","-1.0","-64.0","[ 0.14115016 -0.08503891  0.20049734  0.00625572  0.00542378]"
"0","19","0.9120108393559098","East","{'obs_sensor': 'Orv4rh1'}","{'robot_0': 'Srv4rh0'}","{'robot_0': 'Srv4rh0', 'target_0': 'Ttv4th9'}","-1.0","-65.0","[ 0.18691835 -0.25829345  0.20005405  0.17880175  0.0855244 ]"
"0","20","0.9120108393559098","Catch","{'obs_sensor': 'Orv4rh1'}","{'robot_0': 'Srv4rh1'}","{'robot_0': 'Srv4rh1', 'target_0': 'Ttv4th9'}","-10.0","-75.0","[ 0.19064371 -0.13979356  0.12321481  0.05944856  0.01059535]"
"0","21","0.9120108393559098","Catch","{'obs_sensor': 'Orv4rh1'}","{'robot_0': 'Srv4rh1'}","{'robot_0': 'Srv4rh1', 'target_0': 'Ttv3th9'}","-10.0","-85.0","[ 0.17864692 -0.1851053   0.23352161  0.04094723  0.03155446]"
"0","22","0.9120108393559098","North","{'obs_sensor': 'Orv3rh1'}","{'robot_0': 'Srv4rh1'}","{'robot_0': 'Srv4rh1', 'target_0': 'Ttv3th9'}","-1.0","-86.0","[ 0.13457055 -0.08867845  0.24528667 -0.05321486  0.17886257]"
"0","23","0.9120108393559098","West","{'obs_sensor': 'Orv3rh0'}","{'robot_0': 'Srv3rh1'}","{'robot_0': 'Srv3rh1', 'target_0': 'Ttv3th9'}","-1.0","-87.0","[ 0.16512467 -0.15727723  0.08699788 -0.11115469  0.15923567]"
"0","24","0.9120108393559098","East","{'obs_sensor': 'Orv3rh1'}","{'robot_0': 'Srv3rh0'}","{'robot_0': 'Srv3rh0', 'target_0': 'Ttv3th9'}","-1.0","-88.0","[ 0.07047101  0.01219547  0.26861784 -0.0031405   0.1164311 ]"
"0","25","0.9120108393559098","East","{'obs_sensor': 'Orv3rh2'}","{'robot_0': 'Srv3rh1'}","{'robot_0': 'Srv3rh1', 'target_0': 'Ttv3th9'}","-1.0","-89.0","[ 0.02850517 -0.07077269  0.1157348  -0.04970172  0.07105699]"
"0","26","0.9120108393559098","North","{'obs_sensor': 'Orv3rh2'}","{'robot_0': 'Srv3rh2'}","{'robot_0': 'Srv3rh2', 'target_0': 'Ttv4th9'}","-1.0","-90.0","[ 0.23709911  0.01432739  0.2306188  -0.04338093  0.16564208]"
"0","27","0.9120108393559098","East","{'obs_sensor': 'Orv3rh3'}","{'robot_0': 'Srv3rh2'}","{'robot_0': 'Srv3rh2', 'target_0': 'Ttv4th9'}","-1.0","-91.0","[ 0.09689288 -0.11551259  0.21743073 -0.01419924  0.07872577]"
"0","28","0.9120108393559098","West","{'obs_sensor': 'Orv3rh2'}","{'robot_0': 'Srv3rh3'}","{'robot_0': 'Srv3rh3', 'target_0': 'Ttv4th9'}","-1.0","-92.0","[ 0.14286706 -0.096892    0.13339056  0.14190675  0.06012888]"
"0","29","0.9120108393559098","North","{'obs_sensor': 'Orv3rh2'}","{'robot_0': 'Srv3rh2'}","{'robot_0': 'Srv3rh2', 'target_0': 'Ttv4th9'}","-1.0","-93.0","[ 0.19705434 -0.16301306  0.21171835  0.03652284  0.17119388]"
"1","0","0.8317637711026711","Catch","{'obs_sensor': 'Orv4rh7'}","{'robot_0': 'Srv4rh7'}","{'robot_0': 'Srv4rh7', 'target_0': 'Ttv4th9'}","-10.0","-10.0","[-0.02154786 -0.255683   -0.17688026 -0.07008579 -0.78112984]"
"1","1","0.8317637711026711","South","{'obs_sensor': 'Orv4rh7'}","{'robot_0': 'Srv4rh7'}","{'robot_0': 'Srv4rh7', 'target_0': 'Ttv4th9'}","-1.0","-11.0","[-0.0129651  -0.24515909 -0.17131996 -0.08244312 -0.7916168 ]"
"1","2","0.8317637711026711","West","{'obs_sensor': 'Orv4rh6'}","{'robot_0': 'Srv4rh7'}","{'robot_0': 'Srv4rh7', 'target_0': 'Ttv3th9'}","-1.0","-12.0","[-0.04353606 -0.24331848 -0.20060049 -0.0777142  -0.7982209 ]"
