"Episode","Step","Epsilon","Action","Observation","Fully Observed State","State","Step Reward","Total Reward","Q-values ['listen', 'open-left', 'open-right']"
"0","0","0.9817479430199844","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-1.0","-1.0","[ 0.01943389 -0.01485431 -0.00513499]"
"0","1","0.9817479430199844","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-2.0","[ 0.13468722 -0.01856411 -0.00278135]"
"0","2","0.9817479430199844","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-102.0","[0.10601386 0.05978971 0.07209091]"
"0","3","0.9817479430199844","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-202.0","[0.08799244 0.0162204  0.0203807 ]"
"0","4","0.9817479430199844","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-192.0","[0.07171249 0.02959728 0.02072933]"
"0","5","0.9817479430199844","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-182.0","[ 0.10619974 -0.03549152 -0.02561118]"
"0","6","0.9817479430199844","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-172.0","[0.12096833 0.05982161 0.06558927]"
"0","7","0.9817479430199844","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-162.0","[ 0.11765961 -0.04416013  0.06285504]"
"0","8","0.9817479430199844","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-152.0","[ 0.09780643 -0.01639768 -0.03156747]"
"0","9","0.9817479430199844","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-142.0","[ 0.0458115   0.00599904 -0.06686425]"
"0","10","0.9817479430199844","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-242.0","[ 0.13272545  0.03605993 -0.06324194]"
"0","11","0.9817479430199844","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-232.0","[-0.01016292 -0.01149881 -0.05520594]"
"0","12","0.9817479430199844","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-233.0","[0.04500233 0.03229028 0.08079905]"
"0","13","0.9817479430199844","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-223.0","[ 0.04270889  0.05716874 -0.01859496]"
"0","14","0.9817479430199844","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-224.0","[-0.07121633  0.11117671  0.02723444]"
"1","0","0.9638290236239705","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","10.0","[ 0.01943389 -0.01485431 -0.00513499]"
"1","1","0.9638290236239705","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-90.0","[ 0.11732187  0.01640679 -0.01240394]"
"1","2","0.9638290236239705","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-1.0","-91.0","[0.05063869 0.01689382 0.04526498]"
"1","3","0.9638290236239705","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-81.0","[ 0.04873687 -0.09577231 -0.02750021]"
"1","4","0.9638290236239705","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-71.0","[ 0.05126821  0.07143633 -0.01110785]"
"1","5","0.9638290236239705","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-72.0","[0.09461493 0.03005768 0.06135142]"
"1","6","0.9638290236239705","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-172.0","[ 0.0676999  -0.0905202  -0.05253571]"
"1","7","0.9638290236239705","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-162.0","[ 0.0769575  -0.05516782  0.00663973]"
"1","8","0.9638290236239705","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-163.0","[ 0.07278678 -0.03392986  0.09430691]"
"1","9","0.9638290236239705","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-164.0","[ 0.18962356 -0.02540631  0.01746916]"
"1","10","0.9638290236239705","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-154.0","[ 0.22978866  0.00319304 -0.04556815]"
"1","11","0.9638290236239705","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-155.0","[0.07076903 0.09587382 0.06035392]"
"1","12","0.9638290236239705","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-255.0","[ 0.09039984 -0.017912   -0.04198183]"
"1","13","0.9638290236239705","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-245.0","[0.15480593 0.07418038 0.03294655]"
"1","14","0.9638290236239705","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-235.0","[ 0.01409999  0.07887895 -0.00549065]"
"2","0","0.946237161365793","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-1.0","[ 0.01069311 -0.06142928 -0.01872513]"
"2","1","0.946237161365793","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-2.0","[ 0.12377811 -0.01941016  0.02590722]"
"2","2","0.946237161365793","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-1.0","-3.0","[0.11498801 0.0174735  0.07702331]"
"2","3","0.946237161365793","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-100.0","-103.0","[0.13803391 0.0466911  0.07285665]"
"2","4","0.946237161365793","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-203.0","[ 0.13250941  0.06654418 -0.01298239]"
"2","5","0.946237161365793","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-204.0","[0.12495686 0.0136043  0.04105173]"
"2","6","0.946237161365793","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-205.0","[ 0.13380603 -0.05588179 -0.05290935]"
"2","7","0.946237161365793","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-305.0","[ 0.17076376  0.05568825 -0.00479971]"
"2","8","0.946237161365793","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-295.0","[0.14136624 0.03362159 0.00293539]"
"2","9","0.946237161365793","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-296.0","[ 0.01111807 -0.00206022 -0.06189542]"
"2","10","0.946237161365793","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-396.0","[ 0.04103249 -0.05978845 -0.13897206]"
"2","11","0.946237161365793","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-397.0","[0.04767452 0.11694989 0.06012195]"
"2","12","0.946237161365793","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-387.0","[0.09892997 0.11968827 0.16958937]"
"2","13","0.946237161365793","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-377.0","[0.08308294 0.04058259 0.1473608 ]"
"2","14","0.946237161365793","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-378.0","[-0.1201872   0.20424265  0.01610943]"
"3","0","0.9289663867799363","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","10.0","[ -0.15681735 -20.09948    -14.648747  ]"
"3","1","0.9289663867799363","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-90.0","[  0.13437794 -21.441507   -16.869387  ]"
"3","2","0.9289663867799363","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-91.0","[  0.5379117 -23.106403  -17.181479 ]"
"3","3","0.9289663867799363","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-191.0","[ -0.15300578 -26.6214     -20.203302  ]"
"3","4","0.9289663867799363","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-192.0","[  0.5164798 -27.776352  -21.572601 ]"
"3","5","0.9289663867799363","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-182.0","[  1.105947 -30.433878 -22.956598]"
"3","6","0.9289663867799363","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-100.0","-282.0","[  0.7677874 -32.555183  -23.346712 ]"
"3","7","0.9289663867799363","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-283.0","[  1.8813286 -33.132767  -23.240503 ]"
"3","8","0.9289663867799363","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-284.0","[  0.22961992 -37.17611    -23.870869  ]"
"3","9","0.9289663867799363","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-274.0","[  0.9727388 -39.97007   -26.614328 ]"
"3","10","0.9289663867799363","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-374.0","[  1.9826682 -39.92761   -26.349035 ]"
"3","11","0.9289663867799363","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-375.0","[  0.6348289 -41.737114  -23.79838  ]"
"3","12","0.9289663867799363","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-475.0","[ -0.08322966 -44.23046    -24.480497  ]"
"3","13","0.9289663867799363","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-575.0","[  0.7148211 -43.37599   -26.847612 ]"
"3","14","0.9289663867799363","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-576.0","[  0.8651356 -43.820034  -23.926823 ]"
"4","0","0.9120108393559097","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-100.0","-100.0","[  0.18476981 -30.39294    -40.85207   ]"
"4","1","0.9120108393559097","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-101.0","[ -0.735808 -31.13571  -46.94954 ]"
"4","2","0.9120108393559097","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-91.0","[  0.3391624 -37.04807   -48.493244 ]"
"4","3","0.9120108393559097","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-191.0","[ -2.128406 -40.420315 -51.51779 ]"
"4","4","0.9120108393559097","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-192.0","[ -0.6522961 -39.883514  -48.422146 ]"
"4","5","0.9120108393559097","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-292.0","[ -0.24342813 -45.25846    -45.15403   ]"
"4","6","0.9120108393559097","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-392.0","[  0.19934313 -42.749287   -39.928722  ]"
"4","7","0.9120108393559097","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-492.0","[  2.7939656 -43.533344  -33.22203  ]"
"4","8","0.9120108393559097","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-482.0","[  0.40294573 -43.703083   -27.547646  ]"
"4","9","0.9120108393559097","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-483.0","[  2.197929 -40.031826 -29.736372]"
"4","10","0.9120108393559097","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-484.0","[  0.3036576 -42.847637  -36.418396 ]"
"4","11","0.9120108393559097","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-584.0","[  0.10885866 -45.399998   -39.180794  ]"
"4","12","0.9120108393559097","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-574.0","[  1.0699549 -46.05517   -44.907948 ]"
"4","13","0.9120108393559097","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-1.0","-575.0","[  0.96000063 -45.633648   -45.193512  ]"
"4","14","0.9120108393559097","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-565.0","[  1.1652656 -51.708088  -48.754845 ]"
"5","0","0.8953647655495937","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-1.0","[ -0.20481747 -28.8069     -63.51457   ]"
"5","1","0.8953647655495937","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","9.0","[ -0.67879117 -30.15815    -64.80377   ]"
"5","2","0.8953647655495937","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-100.0","-91.0","[ -0.76150906 -30.341858   -63.245052  ]"
"5","3","0.8953647655495937","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-191.0","[ -0.64410293 -28.717676   -62.14968   ]"
"5","4","0.8953647655495937","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-192.0","[ -0.8106264 -29.502455  -58.764305 ]"
"5","5","0.8953647655495937","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-100.0","-292.0","[ -1.6283984 -30.671267  -55.43658  ]"
