iteration,observation,observed state,action,step reward
0,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
0,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
0,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
0,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
0,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
1,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
1,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
1,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
1,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
2,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
2,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
2,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
2,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
3,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
3,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
3,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
3,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
4,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
4,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
4,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
4,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
5,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
5,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
5,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
5,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
6,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
6,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
6,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
6,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
7,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
7,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
7,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
7,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
7,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
8,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
8,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
8,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
8,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
8,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
9,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
9,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
