Date,Problem,Training Period ,Evaluation Period,History Length,Max Steps ,Flooding Value,Include Actions,Recurrent,Expert Buffer,Random Buffer,Prioritised Experience Replay ,Average Score,Std Deviation,Deep Network (8 layers),Wide Network,Learning Rate,Batch Size,Layer width,Include_Results
30/09/2020,"Rock Sample (3,1)",5,5,5,5,0,TRUE,TRUE,FALSE,FALSE,TRUE,8,4.472135955,,,,,,
30/09/2020,Tiger,100,150,15,15,0,TRUE,TRUE,FALSE,FALSE,TRUE,-15,0,,,,,,
30/09/2020,Tiger,100,150,15,15,0,TRUE,FALSE,FALSE,FALSE,TRUE,-14.1,20.80556198,FALSE,,,,,
30/09/2020,Tiger,100,150,15,15,0,FALSE,FALSE,FALSE,FALSE,TRUE,-14.6,23.97411356,FALSE,,,,,
30/09/2020,Tiger,100,150,15,15,0.1,FALSE,FALSE,FALSE,FALSE,TRUE,-14.3,8.98146239,FALSE,,,,,
30/09/2020,Tiger,100,150,15,15,0.1,TRUE,FALSE,TRUE,FALSE,TRUE,-22.7,30.39311782,FALSE,,,,,
30/09/2020,Tiger,100,150,15,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,-21.3,39.69885747,FALSE,,,,,
30/09/2020,Tiger,100,150,15,15,0,TRUE,TRUE,TRUE,FALSE,TRUE,-15,0,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,-7.3,26.54203959,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,0.05,TRUE,FALSE,TRUE,FALSE,TRUE,-8.8,30.96662344,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,0.15,TRUE,FALSE,TRUE,FALSE,TRUE,-5.6,20.16601789,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,0.25,TRUE,FALSE,TRUE,FALSE,TRUE,-8.8,20.04862545,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,-4.6,25.35392075,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,1,TRUE,FALSE,TRUE,FALSE,TRUE,-14.7,1.778117044,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,2,TRUE,FALSE,TRUE,FALSE,TRUE,-5.2,26.15358527,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,5,TRUE,FALSE,TRUE,FALSE,TRUE,-16.1,32.03222999,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,5,TRUE,FALSE,FALSE,FALSE,TRUE,-7.2,18.08322916,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,2,TRUE,FALSE,FALSE,FALSE,TRUE,-2.8,18.04726705,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,1,TRUE,FALSE,FALSE,FALSE,TRUE,-10.1,11.07626804,FALSE,,,,,
30/09/2020,Tiger,300,150,15,15,0.5,TRUE,FALSE,FALSE,FALSE,TRUE,-5.2,20.63415643,FALSE,,,,,
30/09/2020,"Rock Sample (3,1)",300,150,10,10,0,TRUE,FALSE,TRUE,FALSE,TRUE,10,0,FALSE,TRUE,,,,
30/09/2020,"Rock Sample (3,1)",300,150,10,10,0,TRUE,FALSE,TRUE,FALSE,TRUE,10,0,TRUE,TRUE,,,,
30/09/2020,"Rock Sample (3,1)",300,150,10,10,0,TRUE,FALSE,TRUE,FALSE,TRUE,10,0,FALSE,TRUE,,,,
30/09/2020,"Rock Sample (3,1)",300,150,10,10,0,TRUE,FALSE,TRUE,FALSE,TRUE,10,0,FALSE,FALSE,,,,
30/09/2020,"Rock Sample (3,1)",300,150,10,10,0,TRUE,FALSE,TRUE,FALSE,TRUE,5.4,8.48449039,FALSE,FALSE,,,,
30/09/2020,"Rock Sample (3,1)",300,150,10,10,0,TRUE,FALSE,TRUE,FALSE,TRUE,-16.4,49.87608807,TRUE,FALSE,,,,
30/09/2020,"Rock Sample (3,1)",300,150,7,7,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,9,3.010050279,TRUE,FALSE,,,,
30/09/2020,"Rock Sample (3,1)",1000,150,10,10,0.3,TRUE,FALSE,TRUE,FALSE,TRUE,0.3,10.02993283,TRUE,FALSE,,,,
1/10/2020,Tag,1000,1000,3,150,0.3,TRUE,FALSE,FALSE,TRUE,TRUE,-148.9,13.14741414,FALSE,FALSE,,,,
1/10/2020,Tiger,300,2000,15,15,2,TRUE,FALSE,TRUE,FALSE,TRUE,-11.4,11.36758316,FALSE,FALSE,,,,
1/10/2020,Tiger,300,2000,15,15,2,TRUE,FALSE,TRUE,FALSE,TRUE,-3.2,25.03481973,FALSE,FALSE,,,,
1/10/2020,Tiger,300,2000,15,15,2,TRUE,FALSE,TRUE,FALSE,TRUE,-7,13.85811671,FALSE,FALSE,,,,
1/10/2020,Tiger,300,2000,15,15,2,TRUE,FALSE,TRUE,FALSE,TRUE,-4.3,17.06596471,FALSE,FALSE,,,,
1/10/2020,Tiger,300,2000,15,15,2,TRUE,FALSE,TRUE,FALSE,TRUE,-5,35.84772904,FALSE,FALSE,,,,
1/10/2020,Tiger,300,2000,15,15,2,TRUE,FALSE,FALSE,FALSE,TRUE,-11.7,8.097290337,FALSE,FALSE,,,,
1/10/2020,Tiger,300,2000,15,15,2,TRUE,FALSE,FALSE,FALSE,TRUE,-6,21.95444439,FALSE,FALSE,,,,
